# phrase	weight
# Auto-generated from sepidmnorozy/Chinese_sentiment train split (char n-gram log-odds).
鍵盤	0.9800
散熱	0.9800
性能	0.9800
內存	0.9800
驅動	0.9800
vist	0.9800
硬盤	0.9800
vista	0.9800
xp	0.9800
做工	0.9800
配置	0.9800
電池	0.9771
京東	0.9764
手感	0.9708
顯卡	0.9708
運行	0.9682
屏幕	0.9654
vis	0.9561
ist	0.9547
ista	0.9543
美屏	0.9437
完美屏	0.9410
比高	0.9293
完美	0.9256
性價比高	0.9234
價比高	0.9234
外觀	0.9201
本本	0.9158
最差	-0.9137
很差	-0.9073
這款	0.9035
也不錯	0.8997
漂亮	0.8976
也很好	0.8972
遊戲	0.8945
攝像頭	0.8829
像頭	0.8829
sta	0.8779
很漂	0.8772
很漂亮	0.8772
cp	0.8750
最差的	-0.8747
vi	0.8699
小巧	0.8696
也還	0.8683
非常好	0.8680
機器	0.8645
cpu	0.8640
很舒	0.8638
很不錯	0.8581
筆記本	0.8567
常好	0.8545
st	0.8540
差的	-0.8532
led	0.8521
攝像	0.8499
太差	-0.8456
不值	-0.8455
還是不錯	0.8342
is	0.8325
ta	0.8313
筆記	0.8304
很快	0.8302
不會再	-0.8289
不錯的	0.8278
安裝	0.8248
pu	0.8241
記本	0.8219
招待所	-0.8211
待所	-0.8087
不錯	0.8046
超值	0.8044
觀漂亮	0.8037
裝x	0.8037
裝xp	0.8037
外觀漂	0.8037
觀漂	0.8037
外觀漂亮	0.8037
很舒服	0.7993
錯的	0.7988
招待	-0.7984
是不錯的	0.7932
根本	-0.7920
功能	0.7920
感動	0.7916
成長	0.7867
發熱	0.7829
世界	0.7784
還會	0.7735
失望	-0.7720
裝系統	0.7707
pad	0.7707
裝系	0.7707
愛的	0.7690
是不錯	0.7690
系統	0.7685
還是不錯的	0.7683
觸摸	0.7618
夠用	0.7550
kp	0.7527
接口	0.7527
kpad	0.7527
kpa	0.7527
很乾	0.7526
你們	-0.7518
的愛	0.7508
投訴	-0.7456
豐富	0.7433
nkpad	0.7432
inkp	0.7432
inkpa	0.7432
inkpad	0.7432
nkpa	0.7432
nkp	0.7432
華碩	0.7432
周到	0.7395
很乾淨	0.7332
很方	0.7312
速度	0.7307
讀完	0.7302
很方便	0.7298
的生活	0.7283
很不錯的	0.7265
最好的	0.7238
比不錯	0.7236
價比不錯	0.7236
性價比不錯	0.7236
hinkp	0.7236
thinkp	0.7236
hinkpa	0.7236
齊全	0.7196
結局	0.7168
很一	-0.7137
孩子的	0.7134
很一般	-0.7133
le	0.7119
用起	0.7061
用起來	0.7061
實惠	0.7056
感覺不錯	0.7044
覺不錯	0.7044
ink	0.6982
速度很快	0.6982
外觀很	0.6921
續航	0.6921
觀很	0.6921
好書	0.6911
很好	0.6891
一股	-0.6884
性價比	0.6842
價位	0.6842
打電話	-0.6829
性價	0.6815
快樂	0.6811
ed	0.6811
鼠標	0.6811
軟件	0.6797
打電	-0.6790
太差了	-0.6759
nk	0.6703
退房	-0.6701
hp	0.6698
很滿意	0.6698
速度也	0.6687
think	0.6687
thin	0.6687
hink	0.6687
價比	0.6651
流暢	0.6633
速度很	0.6633
較高	0.6626
再也	-0.6620
電影	0.6611
簡直	-0.6602
東的	0.6582
知識	0.6580
告知	-0.6572
老師	0.6547
很滿	0.6529
這個酒店	-0.6515
這個酒	-0.6515
設計	0.6508
再也不	-0.6492
系列	0.6476
重量	0.6464
的配置	0.6464
的生	0.6448
比較高	0.6448
挺好	0.6425
度很快	0.6414
生活	0.6383
價比很高	0.6374
比很高	0.6374
性價比很高	0.6374
